config,q_init,episodes,seed,mean_reward,std,success_rate
q0_5k,0.0,5000,0,0.0,0.0,0.0
q0_5k,0.0,5000,1,87.904,22.212,0.96
q0_5k,0.0,5000,2,91.273,1.314,1.0
q0_5k,0.0,5000,3,93.13,0.257,1.0
q0_5k,0.0,5000,4,0.0,0.0,0.0
q1_5k,1.0,5000,0,91.943,1.541,1.0
q1_5k,1.0,5000,1,78.122,6.457,1.0
q1_5k,1.0,5000,2,89.853,2.132,1.0
q1_5k,1.0,5000,3,57.0,65.796,0.78
q1_5k,1.0,5000,4,88.561,23.145,0.98
q0_10k,0.0,10000,0,0.0,0.0,0.0
q0_10k,0.0,10000,1,92.795,0.818,1.0
q0_10k,0.0,10000,2,-30.409,0.566,0.0
q0_10k,0.0,10000,3,-24.0,16.712,0.02
q0_10k,0.0,10000,4,0.0,0.0,0.0
